steps,minutes,mean_score,median_score,max_score,mean_level,max_level,levels_cleared,ghosts_per_game,unfinished
250000,2.13,2768.0,2705.0,3280,1.0,1,0,1.3,0
500000,4.72,5633.0,4590.0,12670,1.5,4,5,6.0,0
750000,7.27,6746.0,4580.0,14580,1.8,4,8,6.1,0
1000000,9.78,9015.0,9615.0,14840,2.1,4,11,7.7,0
1250000,12.39,5966.0,4885.0,11640,1.7,3,7,3.7,0
1500000,17.26,16924.0,17790.0,25770,4.1,7,31,13.8,0
1750000,20.73,12131.0,10610.0,20350,2.9,6,19,11.1,0
2000000,23.15,15827.0,17985.0,23680,3.9,6,29,15.4,0
2250000,25.5,13494.0,13115.0,25480,3.2,6,22,11.3,0
2500000,27.76,17402.0,15765.0,37060,4.4,10,34,14.2,0
2750000,30.02,15431.0,17030.0,23230,3.9,6,29,12.9,0
3000000,32.24,16963.0,17520.0,21290,3.8,5,28,17.5,0
3250000,34.57,17526.0,15500.0,32280,4.1,8,31,16.8,0
3500000,36.86,10914.0,9290.0,17350,3.0,4,20,10.9,0
3750000,39.25,18273.0,16805.0,34690,4.2,9,32,17.4,0
4000000,41.51,17637.0,15900.0,30010,4.0,7,30,19.0,0
4250000,43.89,16141.0,15635.0,22620,3.7,6,27,16.7,0
4500000,46.25,16240.0,16005.0,29060,3.7,7,27,15.5,0
4750000,48.52,20221.0,20725.0,22420,4.6,5,36,20.3,0
5000000,50.83,18564.0,18170.0,36470,4.2,9,32,18.0,0
5250000,53.21,19456.0,17880.0,28840,4.3,8,33,20.3,0
5500000,55.51,17600.0,16900.0,24390,3.8,6,28,18.8,0
5750000,57.82,19637.0,19790.0,34070,4.6,7,36,18.5,0
6000000,60.14,19944.0,18370.0,30660,4.3,7,33,21.0,0
6250000,62.37,22717.0,22420.0,32060,5.1,7,41,22.1,0
6500000,64.66,22172.0,19850.0,43410,4.8,10,38,21.8,0
6750000,67.01,19057.0,18040.0,30680,4.2,7,32,19.8,0
7000000,69.41,20533.0,18420.0,26900,4.6,7,36,21.5,0
7250000,71.76,22827.0,21440.0,31910,5.2,8,42,22.8,0
7500000,74.08,15332.0,16080.0,23480,3.3,5,23,16.2,0
7750000,76.49,19600.0,19575.0,25290,4.2,6,32,20.1,0
8000000,78.87,16814.0,16605.0,25010,3.9,7,29,17.0,0
8250000,81.29,18900.0,18890.0,28810,4.2,6,32,18.0,0
8500000,83.96,19375.0,17730.0,25040,3.9,6,29,20.5,0
8750000,86.48,19970.0,18350.0,31800,4.5,8,35,20.6,0
9000000,89.04,22307.0,21050.0,34240,5.1,9,41,21.4,0
9250000,91.55,18041.0,19840.0,22920,3.9,5,29,18.3,0
9500000,93.98,19643.0,17805.0,33680,4.9,9,39,17.1,0
9750000,96.35,23196.0,24685.0,32390,5.4,8,44,22.4,0
10000000,98.77,22020.0,21610.0,35300,5.0,8,40,22.3,0
10250000,101.19,23306.0,21770.0,31760,5.0,7,40,23.6,0
10500000,103.63,22300.0,20945.0,29820,4.6,7,36,22.6,0
10750000,106.04,19217.0,18020.0,34430,4.5,9,35,19.1,0
11000000,108.46,15177.0,15595.0,20490,3.5,5,25,16.0,0
11250000,110.99,19846.0,18915.0,40010,4.3,8,33,19.9,0
11500000,113.52,18243.0,17975.0,28050,3.9,6,29,19.5,0
11750000,116.05,22828.0,24520.0,30570,5.2,8,42,24.4,0
12000000,118.52,23198.0,23730.0,33740,4.9,7,39,25.7,0
12250000,120.96,24309.0,23235.0,32420,5.3,7,43,26.0,0
12500000,123.39,20811.0,19955.0,28470,4.7,7,37,22.1,0
12750000,125.87,22969.0,21680.0,34900,5.0,7,40,24.7,0
13000000,128.31,18175.0,18135.0,25580,4.0,5,30,18.3,0
13250000,130.78,23800.0,24280.0,31100,5.3,7,43,25.7,0
13500000,133.19,19014.0,19810.0,28830,4.0,5,30,20.8,0
13750000,135.66,22251.0,20465.0,34470,5.4,9,44,22.0,0
14000000,138.11,25156.0,23940.0,40330,5.6,9,46,27.5,0
14250000,140.5,17944.0,18220.0,21510,4.1,5,31,19.3,0
14500000,142.88,20135.0,20905.0,27460,4.1,5,31,22.0,0
14750000,145.28,21201.0,19065.0,31240,4.7,7,37,22.4,0
15000000,147.71,22131.0,20900.0,35480,5.1,9,41,23.6,0
15250000,150.18,22302.0,21545.0,30450,5.0,7,40,24.5,0
15500000,152.61,21773.0,21670.0,32280,5.1,8,41,21.2,0
15750000,155.06,20029.0,19505.0,32300,4.2,7,32,21.2,0
16000000,157.51,20703.0,18470.0,42770,4.7,10,37,22.2,0
16250000,159.91,19924.0,20065.0,23730,4.4,6,34,21.2,0
16500000,162.39,20884.0,21120.0,27050,4.3,6,33,22.8,0
16750000,164.79,20395.0,20470.0,29320,4.6,6,36,21.9,0
17000000,167.18,24743.0,25535.0,29950,4.9,6,39,28.6,0
17250000,169.63,23935.0,23760.0,31860,5.0,7,40,26.7,0
17500000,172.13,24297.0,23985.0,41800,5.0,8,40,27.1,0
17750000,174.65,22578.0,21030.0,38370,5.1,8,41,24.2,0
18000000,177.07,23596.0,24985.0,28490,5.5,7,45,23.2,0
18250000,179.55,26054.0,22735.0,46090,5.7,11,47,29.7,0
18500000,182.02,24924.0,23945.0,39210,5.1,8,41,29.2,0
18750000,184.45,22607.0,23610.0,31540,5.0,7,40,23.2,0
19000000,186.89,24930.0,24325.0,32100,5.2,7,42,27.2,0
19250000,189.42,20986.0,20625.0,27550,4.9,6,39,22.6,0
19500000,191.99,20565.0,17905.0,31780,4.5,7,35,22.7,0
19750000,194.56,24553.0,23045.0,39280,5.5,9,45,26.5,0
20000000,197.19,24965.0,24555.0,33480,5.1,7,41,27.4,0
20250000,199.84,22321.0,23410.0,30100,4.9,6,39,24.8,0
20500000,202.42,23421.0,25265.0,30780,4.8,6,38,26.8,0
20750000,205.03,24736.0,24240.0,31120,5.4,7,44,26.9,0
21000000,207.79,23622.0,23000.0,31180,5.3,7,43,24.7,0
21250000,210.42,29695.0,29925.0,39990,6.3,8,53,33.9,0
21500000,213.01,28998.0,27130.0,39770,6.3,8,53,32.6,0
21750000,215.7,27608.0,25900.0,36460,5.9,8,49,30.9,0
22000000,218.23,25463.0,22625.0,36720,5.7,8,47,26.9,0
22250000,220.78,28048.0,29685.0,38570,6.0,8,50,32.4,0
